league,game,half,timestamp,type,anonymized,predicted_res_0
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,2830,soccer-ball,"[PLAYER] plays a neat ball into the path of [PLAYER] ([TEAM]), who makes room for a shot and fires in off the right post! 3:0.",[PLAYER] ([TEAM]) receives a precise pass inside the box from [PLAYER] and quickly shoots the ball into the back of the net. [PLAYER] had no chance. 2:0.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,2631,corner,"[PLAYER] ([TEAM]) takes the corner kick and sends a lovely ball into the penalty area, but the opposition's defence is ready and knocks the ball to safety.",[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender. The ball goes out for a corner. [TEAM] can continue in their attacking effort.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,2603,,"[PLAYER] ([TEAM]) misses a good chance to score. An inch-perfect cross into the box finds [PLAYER] ([TEAM]) who rises for a header, but sends the ball well over the bar. Corner kick. [TEAM] will have an opportunity.","[PLAYER] ([TEAM]) whips in the corner, but one of the defenders reacts well to avert the danger. The ball goes out of play. [TEAM] are awarded a corner kick."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,2592,corner,[PLAYER] ([TEAM]) launches an inaccurate corner kick into the penalty area.,[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,2566,,A cross from [PLAYER] ([TEAM]) fails to reach the box as the defence clears the ball away to safety. Now [TEAM] have a corner.,"[PLAYER] ([TEAM]) attempts to find one of his teammates with a cross from the corner kick. Unfortunately for him, one of the defending players steps in and clears the ball to safety. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag."
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,2419,,"[PLAYER] ([TEAM]) controls a nice low pass and shoots from just outside the box, but it's a poor effort that flies into the stands. Wasted opportunity!",[PLAYER] ([TEAM]) gets himself on the end of a pass on the edge of the box and shoots. His effort goes just wide of the left post. The ball goes out of play and [TEAM] will have a goal kick.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,2333,,[PLAYER] ([TEAM]) is caught offside!,[PLAYER] ([TEAM]) receives a precise pass and finds himself in a good position to create chaos inside the box. He takes a shot which goes just wide of the left post.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,2285,substitution,[COACH] has decided to substitute [PLAYER] and he is replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,2256,,"[PLAYER] ([TEAM]) plays in a hopeful cross, but it doesn't find its way to any of the attacking players.",[PLAYER] ([TEAM]) wastes a good opportunity as his pass into the box is blocked by the defender. The ball is out of play. [TEAM] will have a chance to score from a corner.
england_epl_2016-2017,2017-05-06 - 17-00 Leicester 3 - 0 Watford,2,1953,substitution,Substitution. [PLAYER] did his best and is replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
